-----------------------------------New Session-----------------------------------
2021-04-09 15:37:01,503 | INFO | discord.client | logging in using static token
2021-04-09 15:37:02,427 | INFO | discord.gateway | Shard ID None has sent the IDENTIFY payload.
2021-04-09 15:37:02,737 | INFO | discord.gateway | Shard ID None has connected to Gateway: ["gateway-prd-main-9qrz",{"micros":111861,"calls":["discord-sessions-prd-2-43",{"micros":103627,"calls":["start_session",{"micros":30704,"calls":["api-prd-main-xqnt",{"micros":27588,"calls":["get_user",{"micros":3804},"add_authorized_ip",{"micros":2401},"get_guilds",{"micros":3535},"coros_wait",{"micros":0}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":51454,"calls":[]}]}]}] (Session ID: b8fe29a31909200fae55119813b470f4).
-----------------------------------New Session-----------------------------------
2021-04-09 15:37:05,767 | INFO | discord.client | logging in using static token
2021-04-09 15:37:06,603 | INFO | discord.gateway | Shard ID None has sent the IDENTIFY payload.
2021-04-09 15:37:07,648 | INFO | discord.gateway | Shard ID None session has been invalidated.
2021-04-09 15:37:07,843 | INFO | discord.client | Got a request to IDENTIFY the websocket.
2021-04-09 15:37:13,267 | INFO | discord.gateway | Shard ID None has sent the IDENTIFY payload.
2021-04-09 15:37:13,542 | INFO | discord.gateway | Shard ID None has connected to Gateway: ["gateway-prd-main-9mbm",{"micros":65137,"calls":["discord-sessions-prd-2-106",{"micros":64418,"calls":["start_session",{"micros":58857,"calls":["api-prd-main-8jzs",{"micros":56290,"calls":["get_user",{"micros":4007},"add_authorized_ip",{"micros":1576},"get_guilds",{"micros":4877},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":35,"calls":[]}]}]}] (Session ID: a8fb532348c0a2f2aa8f1ea78cde4c9c).
2021-04-09 15:37:15,548 | INFO | discord | Bot ready to use!
2021-04-09 16:39:35,230 | INFO | discord.client | Got a request to RESUME the websocket.
2021-04-09 16:39:35,944 | INFO | discord.gateway | Shard ID None has sent the RESUME payload.
2021-04-09 16:39:36,145 | INFO | discord.gateway | Shard ID None has successfully RESUMED session a8fb532348c0a2f2aa8f1ea78cde4c9c under trace ["gateway-prd-main-1xmk",{"micros":7707,"calls":["discord-sessions-prd-2-106",{"micros":30}]}].
-----------------------------------New Session-----------------------------------
2021-04-09 16:45:11,823 | INFO | discord.client | logging in using static token
2021-04-09 16:45:12,798 | INFO | discord.gateway | Shard ID None has sent the IDENTIFY payload.
2021-04-09 16:45:13,106 | INFO | discord.gateway | Shard ID None has connected to Gateway: ["gateway-prd-main-xkjh",{"micros":108657,"calls":["discord-sessions-prd-2-61",{"micros":105349,"calls":["start_session",{"micros":41455,"calls":["api-prd-main-64cs",{"micros":39265,"calls":["get_user",{"micros":2106},"add_authorized_ip",{"micros":1526},"get_guilds",{"micros":10870},"coros_wait",{"micros":2}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":28955,"calls":[]}]}]}] (Session ID: 5976feab92198978b75d05959056b022).
2021-04-09 16:45:15,111 | INFO | discord | Bot ready to use!
-----------------------------------New Session-----------------------------------
2021-04-09 16:47:16,440 | INFO | discord.client | logging in using static token
2021-04-09 16:47:17,312 | INFO | discord.gateway | Shard ID None has sent the IDENTIFY payload.
2021-04-09 16:47:17,589 | INFO | discord.gateway | Shard ID None has connected to Gateway: ["gateway-prd-main-g4xx",{"micros":73903,"calls":["discord-sessions-prd-2-66",{"micros":69287,"calls":["start_session",{"micros":67354,"calls":["api-prd-main-snx0",{"micros":62634,"calls":["get_user",{"micros":4929},"add_authorized_ip",{"micros":1434},"get_guilds",{"micros":9836},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1334,"calls":[]}]}]}] (Session ID: 477cdd564ddf232c2219e6d41ed712f9).
2021-04-09 16:47:19,603 | INFO | discord | Bot ready to use!
-----------------------------------New Session-----------------------------------
2021-04-09 16:47:43,510 | INFO | discord.client | logging in using static token
2021-04-09 16:47:44,325 | INFO | discord.gateway | Shard ID None has sent the IDENTIFY payload.
2021-04-09 16:47:44,576 | INFO | discord.gateway | Shard ID None has connected to Gateway: ["gateway-prd-main-1l9l",{"micros":54635,"calls":["discord-sessions-prd-2-147",{"micros":51801,"calls":["start_session",{"micros":28046,"calls":["api-prd-main-69fq",{"micros":25289,"calls":["get_user",{"micros":2624},"add_authorized_ip",{"micros":2045},"get_guilds",{"micros":3625},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":12337,"calls":[]}]}]}] (Session ID: f3ed1fcf1ed997dce4253e36f297480c).
2021-04-09 16:47:46,585 | INFO | discord | Bot ready to use!
2021-04-09 17:41:40,625 | ERROR | discord | Command not found from: <@475597250819784704>
2021-04-09 17:41:52,055 | INFO | discord | Starting spam to id:<@!430677550600028161>, from: <@475597250819784704>
2021-04-09 17:41:53,094 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:41:54,431 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:41:55,751 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:41:57,043 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:41:58,349 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:41:59,623 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:01,590 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:02,922 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:04,251 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:05,652 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:06,939 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:08,219 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:09,481 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:10,766 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:11,534 | INFO | discord | Starting spam to id:<@!625847518181195799>, from: <@475597250819784704>
2021-04-09 17:42:12,140 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:12,531 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:14,806 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:15,066 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:16,130 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:16,420 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:17,431 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:20,129 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:20,480 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:21,445 | INFO | discord | Spam to id: <@!625847518181195799>
